iter	Passed	Remaining
0	61	61229
1	70	35134
2	78	26167
3	86	21612
4	95	19042
5	103	17197
6	112	15923
7	120	14954
8	128	14094
9	135	13402
10	143	12885
11	153	12669
12	161	12298
13	170	12026
14	184	12125
15	192	11864
16	201	11636
17	208	11370
18	216	11179
19	224	10981
20	232	10842
21	240	10702
22	248	10541
23	255	10400
24	262	10241
25	270	10137
26	278	10030
27	285	9916
28	293	9814
29	300	9726
30	307	9623
31	315	9544
32	322	9458
33	330	9384
34	337	9298
35	345	9240
36	355	9240
37	362	9180
38	369	9102
39	377	9050
40	390	9127
41	397	9067
42	404	9001
43	411	8947
44	418	8883
45	431	8948
46	443	8992
47	450	8942
48	464	9019
49	476	9049
50	483	8995
51	487	8893
52	493	8820
53	501	8782
54	509	8749
55	516	8703
56	523	8658
57	531	8625
58	538	8589
59	550	8629
60	554	8534
61	563	8519
62	574	8551
63	582	8514
64	589	8476
65	596	8443
66	604	8414
67	611	8385
68	618	8351
69	626	8325
70	634	8296
71	641	8266
72	648	8233
73	655	8202
74	662	8176
75	670	8146
76	677	8124
77	685	8101
78	692	8077
79	700	8050
80	707	8022
81	714	8000
82	722	7979
83	729	7955
84	736	7927
85	743	7902
86	751	7881
87	758	7856
88	765	7834
89	773	7817
90	781	7809
91	790	7801
92	797	7780
93	804	7758
94	812	7741
95	820	7725
96	828	7708
97	835	7688
98	842	7669
99	849	7647
100	857	7633
101	863	7602
102	872	7597
103	879	7577
104	883	7529
105	891	7521
106	899	7505
107	906	7489
108	914	7475
109	922	7461
110	929	7444
111	936	7425
112	943	7407
113	951	7392
114	958	7374
115	962	7332
116	970	7321
117	977	7308
118	985	7294
119	993	7285
120	1000	7269
121	1008	7256
122	1015	7240
123	1023	7227
124	1033	7231
125	1040	7218
126	1048	7204
127	1055	7191
128	1062	7173
129	1071	7171
130	1078	7156
131	1092	7183
132	1101	7179
133	1109	7170
134	1116	7154
135	1123	7139
136	1131	7128
137	1138	7111
138	1145	7095
139	1152	7081
140	1159	7064
141	1166	7050
142	1174	7038
143	1182	7027
144	1190	7020
145	1199	7015
146	1205	6997
147	1212	6982
148	1220	6969
149	1227	6954
150	1234	6940
151	1241	6927
152	1248	6913
153	1256	6901
154	1263	6890
155	1271	6877
156	1278	6865
157	1285	6852
158	1292	6838
159	1300	6827
160	1307	6814
161	1314	6800
162	1321	6787
163	1328	6774
164	1336	6761
165	1343	6749
166	1350	6736
167	1358	6726
168	1365	6714
169	1372	6703
170	1380	6692
171	1387	6681
172	1397	6678
173	1404	6665
174	1411	6654
175	1418	6641
176	1425	6627
177	1432	6615
178	1439	6604
179	1447	6593
180	1454	6581
181	1461	6570
182	1469	6561
183	1476	6547
184	1483	6534
185	1490	6522
186	1501	6529
187	1514	6540
188	1526	6549
189	1534	6541
190	1541	6529
191	1548	6517
192	1555	6504
193	1563	6493
194	1570	6483
195	1578	6477
196	1585	6464
197	1593	6456
198	1604	6459
199	1616	6467
200	1624	6459
201	1633	6454
202	1648	6472
203	1656	6462
204	1663	6451
205	1670	6438
206	1682	6445
207	1690	6435
208	1697	6423
209	1704	6413
210	1712	6402
211	1719	6389
212	1726	6380
213	1735	6375
214	1743	6364
215	1750	6353
216	1758	6345
217	1765	6334
218	1773	6325
219	1788	6339
220	1796	6331
221	1809	6340
222	1813	6318
223	1820	6307
224	1828	6296
225	1838	6294
226	1847	6292
227	1855	6281
228	1863	6274
229	1875	6279
230	1882	6267
231	1889	6255
232	1897	6246
233	1904	6234
234	1912	6225
235	1919	6214
236	1927	6206
237	1936	6199
238	1943	6187
239	1951	6180
240	1965	6188
241	1973	6181
242	1980	6168
243	1986	6156
244	1993	6144
245	2000	6132
246	2007	6120
247	2014	6109
248	2022	6099
249	2029	6088
250	2036	6078
251	2043	6065
252	2054	6066
253	2061	6055
254	2068	6043
255	2076	6033
256	2083	6022
257	2090	6011
258	2097	6001
259	2104	5990
260	2111	5979
261	2119	5971
262	2128	5963
263	2135	5952
264	2141	5940
265	2149	5931
266	2158	5924
267	2165	5915
268	2174	5908
269	2181	5898
270	2189	5888
271	2196	5879
272	2205	5872
273	2217	5875
274	2225	5868
275	2233	5859
276	2241	5849
277	2248	5838
278	2255	5828
279	2263	5819
280	2271	5812
281	2278	5801
282	2285	5790
283	2292	5779
284	2300	5770
285	2308	5762
286	2317	5758
287	2325	5749
288	2335	5745
289	2343	5736
290	2354	5736
291	2362	5727
292	2369	5718
293	2377	5708
294	2385	5701
295	2393	5691
296	2401	5683
297	2408	5673
298	2415	5663
299	2420	5646
300	2427	5638
301	2436	5630
302	2447	5629
303	2454	5619
304	2462	5612
305	2473	5610
306	2481	5600
307	2488	5590
308	2497	5584
309	2507	5581
310	2514	5571
311	2521	5561
312	2529	5551
313	2536	5542
314	2545	5536
315	2553	5527
316	2560	5517
317	2568	5507
318	2577	5501
319	2588	5501
320	2597	5493
321	2604	5483
322	2612	5476
323	2619	5466
324	2627	5456
325	2634	5447
326	2642	5437
327	2649	5428
328	2656	5418
329	2663	5408
330	2671	5399
331	2683	5400
332	2691	5390
333	2698	5380
334	2705	5371
335	2713	5362
336	2720	5351
337	2726	5341
338	2734	5331
339	2741	5321
340	2748	5312
341	2756	5303
342	2765	5297
343	2777	5295
344	2785	5288
345	2796	5286
346	2805	5279
347	2815	5275
348	2823	5267
349	2830	5256
350	2837	5247
351	2845	5237
352	2852	5228
353	2861	5222
354	2869	5213
355	2881	5212
